Month,Graffiti_Subways,Graffiti_Buses,LCD Screen,MVM,OMNY,Train_Glass,Bus_Glass
01/01/2021,52,0,32,3,3,11,3
02/01/2021,44,0,13,2,0,15,8
03/01/2021,41,0,12,3,1,20,7
04/01/2021,29,0,18,2,1,20,3
05/01/2021,41,0,16,7,6,23,5
06/01/2021,23,0,9,4,3,25,7
07/01/2021,33,0,10,6,1,34,9
08/01/2021,48,0,10,3,0,20,5
09/01/2021,29,0,17,2,2,16,11
10/01/2021,43,1,9,3,1,23,12
11/01/2021,56,1,3,1,0,21,4
12/01/2021,45,0,6,0,0,17,7
01/01/2022,69,0,4,1,0,41,5
02/01/2022,58,0,5,3,1,48,8
03/01/2022,71,0,13,1,2,61,7
04/01/2022,127,0,7,3,0,37,9
05/01/2022,89,0,2,5,2,70,11
06/01/2022,68,0,7,0,0,31,13
07/01/2022,41,0,0,0,0,38,9
08/01/2022,36,0,5,0,1,32,14
09/01/2022,44,1,1,1,0,20,8
10/01/2022,63,0,2,1,2,25,8
11/01/2022,48,0,1,0,0,7,4
12/01/2022,41,0,0,0,0,14,7
01/01/2023,51,0,0,4,0,38,6
02/01/2023,61,0,7,0,3,24,4
03/01/2023,96,0,1,0,1,33,3
04/01/2023,29,1,2,0,0,15,6
05/01/2023,56,2,3,0,0,25,8
06/01/2023,50,2,2,0,0,48,12
07/01/2023,39,0,4,2,0,31,8
08/01/2023,49,0,4,1,2,38,13
09/01/2023,40,0,3,0,0,61,5
10/01/2023,92,1,2,0,1,33,7
11/01/2023,87,4,2,1,0,32,12
12/01/2023,58,1,7,1,0,32,3
01/01/2024,65,0,16,0,0,33,6
02/01/2024,76,0,18,0,0,28,7
03/01/2024,85,0,11,0,1,47,2
04/01/2024,77,0,2,1,0,50,1
05/01/2024,55,2,0,0,1,40,5
06/01/2024,50,2,2,0,0,52,5
07/01/2024,50,0,10,0,1,56,9
