Month,Agency,Police Force,Metric,Total
01/01/2019,NYCT Subway,NYPD,Fare Evasion TABS Summons,7196
01/01/2019,NYCT Subway,NYPD,All Other Summons,2021
01/01/2019,NYCT Subway,NYPD,Fare Evasion Arrests,383
01/01/2019,NYCT Subway,NYPD,Fare Evasion Criminal Summons,282
01/01/2019,NYCT Subway,NYPD,Other Arrests,762
01/01/2019,NYCT,MTAPD,Fare Evasion Summons,1
01/01/2019,LIRR,MTAPD,Arrests,87
01/01/2019,LIRR,MTAPD,Fare Evasion Criminal Summons,19
01/01/2019,LIRR,MTAPD,All Other Criminal Summons,231
01/01/2019,MNR,MTAPD,Arrests,54
01/01/2019,MNR,MTAPD,Fare Evasion Criminal Summons,9
01/01/2019,MNR,MTAPD,All Other Criminal Summons,184
02/01/2019,NYCT Subway,NYPD,Other Arrests,595
02/01/2019,NYCT Subway,NYPD,All Other Summons,1595
02/01/2019,NYCT Subway,NYPD,Fare Evasion TABS Summons,7141
02/01/2019,NYCT Subway,NYPD,Fare Evasion Criminal Summons,259
02/01/2019,NYCT Subway,NYPD,Fare Evasion Arrests,376
02/01/2019,NYCT,MTAPD,Fare Evasion Summons,0
02/01/2019,LIRR,MTAPD,All Other Criminal Summons,238
02/01/2019,LIRR,MTAPD,Fare Evasion Criminal Summons,31
02/01/2019,LIRR,MTAPD,Arrests,98
02/01/2019,MNR,MTAPD,All Other Criminal Summons,184
02/01/2019,MNR,MTAPD,Arrests,41
02/01/2019,MNR,MTAPD,Fare Evasion Criminal Summons,6
03/01/2019,NYCT Subway,NYPD,Fare Evasion TABS Summons,6785
03/01/2019,NYCT Subway,NYPD,Other Arrests,591
03/01/2019,NYCT Subway,NYPD,Fare Evasion Arrests,386
03/01/2019,NYCT Subway,NYPD,All Other Summons,1544
03/01/2019,NYCT Subway,NYPD,Fare Evasion Criminal Summons,219
03/01/2019,NYCT,MTAPD,Fare Evasion Summons,0
03/01/2019,LIRR,MTAPD,All Other Criminal Summons,216
03/01/2019,LIRR,MTAPD,Arrests,96
03/01/2019,LIRR,MTAPD,Fare Evasion Criminal Summons,21
03/01/2019,MNR,MTAPD,All Other Criminal Summons,235
03/01/2019,MNR,MTAPD,Fare Evasion Criminal Summons,13
03/01/2019,MNR,MTAPD,Arrests,60
04/01/2019,NYCT Subway,NYPD,Other Arrests,712
04/01/2019,NYCT Subway,NYPD,Fare Evasion TABS Summons,6289
04/01/2019,NYCT Subway,NYPD,Fare Evasion Arrests,298
04/01/2019,NYCT Subway,NYPD,All Other Summons,1354
04/01/2019,NYCT Subway,NYPD,Fare Evasion Criminal Summons,206
04/01/2019,NYCT,MTAPD,Fare Evasion Summons,0
04/01/2019,LIRR,MTAPD,Arrests,75
04/01/2019,LIRR,MTAPD,Fare Evasion Criminal Summons,27
04/01/2019,LIRR,MTAPD,All Other Criminal Summons,314
04/01/2019,MNR,MTAPD,Arrests,43
04/01/2019,MNR,MTAPD,All Other Criminal Summons,177
04/01/2019,MNR,MTAPD,Fare Evasion Criminal Summons,7
05/01/2019,NYCT Subway,NYPD,All Other Summons,1330
05/01/2019,NYCT Subway,NYPD,Other Arrests,652
05/01/2019,NYCT Subway,NYPD,Fare Evasion Criminal Summons,214
05/01/2019,NYCT Subway,NYPD,Fare Evasion Arrests,277
05/01/2019,NYCT Subway,NYPD,Fare Evasion TABS Summons,6141
05/01/2019,NYCT,MTAPD,Fare Evasion Summons,1
05/01/2019,LIRR,MTAPD,Fare Evasion Criminal Summons,28
05/01/2019,LIRR,MTAPD,Arrests,69
05/01/2019,LIRR,MTAPD,All Other Criminal Summons,143
05/01/2019,MNR,MTAPD,All Other Criminal Summons,165
05/01/2019,MNR,MTAPD,Fare Evasion Criminal Summons,4
05/01/2019,MNR,MTAPD,Arrests,34
06/01/2019,NYCT Subway,NYPD,All Other Summons,1040
06/01/2019,NYCT Subway,NYPD,Fare Evasion Arrests,218
06/01/2019,NYCT Subway,NYPD,Other Arrests,591
06/01/2019,NYCT Subway,NYPD,Fare Evasion TABS Summons,5828
06/01/2019,NYCT Subway,NYPD,Fare Evasion Criminal Summons,217
06/01/2019,NYCT,MTAPD,Fare Evasion Summons,7
06/01/2019,LIRR,MTAPD,All Other Criminal Summons,192
06/01/2019,LIRR,MTAPD,Fare Evasion Criminal Summons,16
06/01/2019,LIRR,MTAPD,Arrests,61
06/01/2019,MNR,MTAPD,All Other Criminal Summons,187
06/01/2019,MNR,MTAPD,Arrests,31
06/01/2019,MNR,MTAPD,Fare Evasion Criminal Summons,12
07/01/2019,NYCT Subway,NYPD,Fare Evasion TABS Summons,6385
07/01/2019,NYCT Subway,NYPD,Other Arrests,601
